Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability,State
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Assam State Transport Corporation (ASTC) - 147480,Bharat Benz A/C Seater (2+2),05:00,04h 00m,09:00,3.7,INR 270,7 Seats available,Assam
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Assam State Transport Corporation (ASTC) - 135927,Volvo AC Seater 2+2,07:10,04h 30m,11:40,4.3,INR 298,8 Seats available,Assam
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Assam State Transport Corporation (ASTC) - 157959,Bharat Benz A/C Seater (2+2),14:00,04h 30m,18:30,4.1,INR 298,16 Seats available,Assam
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Assam State Transport Corporation (ASTC) - 154930,Volvo AC Seater 2+2,15:45,04h 15m,20:00,3.4,INR 298,29 Seats available,Assam
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Assam State Transport Corporation (ASTC) - 161055,Volvo AC Seater 2+2,16:15,04h 15m,20:30,4.2,INR 298,22 Seats available,Assam
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,WARISPIYA TRAVELS,AC Seater (2+2),05:45,03h 15m,09:00,4.1,INR 360,7 Seats available,Assam
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Chartered Bus - ASTC,A/C Seater Push Back (2+2),11:30,04h 45m,16:15,4.1,INR 389.13,4 Seats available,Assam
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater Semi Sleeper (2+1),21:30,06h 00m,03:30,3.0,INR 400,31 Seats available,Assam
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Upasana Travels (Under ASTC),Non AC Seater (2+2),06:50,04h 10m,11:00,2.8,INR 290,17 Seats available,Assam
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Karisma (Aziba),NON A/C Seater (2+1),09:45,04h 25m,14:10,2.6,INR 350,18 Seats available,Assam
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Himalayan Travels,NON A/C Seater (2+2),23:40,04h 20m,04:00,1.8,INR 500,34 Seats available,Assam
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Pranjit Travels (Under ASTC),Bharat Benz A/C Seater (2+1),01:15,05h 00m,06:15,2.5,INR 550,15 Seats available,Assam
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Assam State Transport Corporation (ASTC) - 139846,Volvo AC Seater 2+2,06:10,03h 50m,10:00,4.2,INR 298,2 Seats available,Assam
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Assam State Transport Corporation (ASTC) - 149849,Volvo AC Seater 2+2,06:30,04h 15m,10:45,2.2,INR 298,3 Seats available,Assam
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Assam State Transport Corporation (ASTC) - 173419,Bharat Benz A/C Seater (2+2),07:15,03h 35m,10:50,3.6,INR 298,4 Seats available,Assam
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Assam State Transport Corporation (ASTC) - 154910,Bharat Benz A/C Seater (2+2),10:30,04h 30m,15:00,3.8,INR 298,21 Seats available,Assam
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Assam State Transport Corporation (ASTC) - 139720,Volvo AC Seater 2+2,13:45,04h 15m,18:00,4.4,INR 298,2 Seats available,Assam
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,WARISPIYA TRAVELS,AC Seater (2+2),15:00,03h 40m,18:40,4.5,INR 360,16 Seats available,Assam
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Karisma (Aziba),NON A/C Seater (2+1),05:45,04h 55m,10:40,2.8,INR 350,14 Seats available,Assam
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Upasana Travels (Under ASTC),A/C Seater (2+2),11:30,04h 10m,15:40,1.6,INR 300,16 Seats available,Assam
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,DESTINY TRAVELS,NON A/C Seater (2+1),18:45,28h 45m,23:30,1.9,408,1 Seat available,Assam
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Himalayan Travels,NON A/C Seater (2+2),20:30,06h 00m,02:30,1.8,INR 500,34 Seats available,Assam
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Chartered Bus,A/C Seater Push Back (2+2),20:00,04h 15m,00:15,3.3,INR 540.21,32 Seats available,Assam
Guwahati to Nagaon (Assam),https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Assam State Transport Corporation (ASTC) - 149849,Volvo AC Seater 2+2,06:30,02h 30m,09:00,2.9,INR 191,2 Seats available,Assam
Guwahati to Nagaon (Assam),https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Assam State Transport Corporation (ASTC) - 154910,Bharat Benz A/C Seater (2+2),10:30,02h 30m,13:00,3.8,INR 191,21 Seats available,Assam
Guwahati to Nagaon (Assam),https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Assam State Transport Corporation (ASTC) - 146146,Bharat Benz A/C Seater (2+2),13:00,03h 00m,16:00,4.0,INR 191,29 Seats available,Assam
Guwahati to Nagaon (Assam),https://www.redbus.in/bus-tickets/guwahati-to-nagaon,DESTINY TRAVELS,NON A/C Seater (2+1),18:45,27h 05m,21:50,1.9,428,1 Seat available,Assam
Nagaon (Assam) to Guwahati,https://www.redbus.in/bus-tickets/nagaon-to-guwahati,Assam State Transport Corporation (ASTC) - 146078,Bharat Benz A/C Seater (2+2),08:15,02h 45m,11:00,4.3,INR 191,9 Seats available,Assam
Nagaon (Assam) to Guwahati,https://www.redbus.in/bus-tickets/nagaon-to-guwahati,Purple Wings Coaches,A/C Seater / Sleeper (2+1),04:05,02h 40m,06:45,4.5,INR 440,11 Seats available,Assam
Goalpara to Guwahati,https://www.redbus.in/bus-tickets/goalpara-to-guwahati,Assam State Transport Corporation (ASTC) - 141730,Bharat Benz A/C Seater (2+2),06:10,04h 00m,10:10,4.0,INR 233,23 Seats available,Assam
Jorhat to North Lakhimpur,https://www.redbus.in/bus-tickets/jorhat-to-north-lakhimpur,Padmanav Travels,NON A/C Seater Push Back (2+2),06:00,07h 45m,13:45,3.7,561,36 Seats available,Assam
Dhubri to Guwahati,https://www.redbus.in/bus-tickets/dhubri-to-guwahati,Yatra,Non AC Seater (2+2),20:15,07h 15m,03:30,2.3,INR 350,40 Seats available,Assam
Dhubri to Guwahati,https://www.redbus.in/bus-tickets/dhubri-to-guwahati,Rizwan Travels,A/C Seater (2+2),04:45,06h 45m,11:30,2.4,INR 340,35 Seats available,Assam
Dhubri to Guwahati,https://www.redbus.in/bus-tickets/dhubri-to-guwahati,Yatra,Non AC Seater (2+2),11:15,07h 30m,18:45,1.7,INR 300,41 Seats available,Assam
Dhubri to Guwahati,https://www.redbus.in/bus-tickets/dhubri-to-guwahati,Arifa Travels,Non AC Seater (2+2),05:30,05h 30m,11:00,1.9,INR 300,42 Seats available,Assam
Dhubri to Guwahati,https://www.redbus.in/bus-tickets/dhubri-to-guwahati,Rizwan Travels,Non AC Seater (2+2),12:30,07h 30m,20:00,2.4,INR 300,45 Seats available,Assam
Dhubri to Guwahati,https://www.redbus.in/bus-tickets/dhubri-to-guwahati,Rizwan Travels,Non AC Seater (2+2),12:15,07h 00m,19:15,2.4,INR 300,45 Seats available,Assam
Dhubri to Guwahati,https://www.redbus.in/bus-tickets/dhubri-to-guwahati,Yatra,Non AC Seater (2+2),13:15,07h 15m,20:30,2.2,INR 300,41 Seats available,Assam
Dhubri to Guwahati,https://www.redbus.in/bus-tickets/dhubri-to-guwahati,Arifa Travels,Non AC Seater (2+2),06:40,06h 50m,13:30,1.8,INR 300,44 Seats available,Assam
